Kecamatan,madya,mandiri,pratama,purnama,Total Posyandu
Bantaran,9,1,0,44,54
Banyuanyar,4,1,0,63,68
Besuk,24,0,0,42,66
Dringu,6,2,0,58,66
Gading,17,0,0,46,63
Gending,0,0,0,59,59
Kotaanyar,25,0,5,18,48
Kraksaan,0,6,0,68,74
Krejengan,0,16,0,34,50
Krucil,8,1,0,37,46
Kuripan,14,0,0,11,25
Leces,34,0,0,26,60
Lumbang,12,0,0,23,35
Maron,2,0,0,84,86
Paiton,19,0,0,63,82
Pajarakan,7,0,0,35,42
Pakuniran,8,0,0,52,60
Sukapura,15,0,2,18,35
Sumber,5,3,0,27,35
Sumberasih,6,2,0,47,55
Tegalsiwalan,21,0,0,19,40
Tiris,6,1,0,59,66
Tongas,3,2,4,64,73
Wonomerto,32,0,0,9,41
Grand Total,277,35,11,1006,1329